Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.99     11.76    11.76                             Foam::List<double>::List(Foam::List<double> const&) (List.C:122 @ 5bee0)
                0.00    0.00    1208/31974       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensioned<double> const&) (GeometricFieldFunctions.C:585 @ ba83e) [30137]
                0.00    0.00    1208/31974       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensioned<double> const&) (GeometricField.C:767 @ ba979) [30140]
                0.00    0.00    1560/31974       Foam::fvMatrix<double>::fvMatrix(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensionSet const&) (GeometricField.C:767 @ 6b1df) [27518]
                0.00    0.00    1920/31974       Foam::fvMatrix<Foam::Vector<double> >::A() const (GeometricField.C:757 @ b8fee) [39842]
                0.00    0.00    1920/31974       Foam::fvMatrix<Foam::Vector<double> >::A() const (GeometricField.C:920 @ b902c) [39850]
                0.00    0.00    2280/31974       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::surfaceIntegrate<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (GeometricField.C:757 @ b522f) [20684]
                0.00    0.00    2280/31974       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::surfaceIntegrate<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (GeometricField.C:920 @ b524e) [20688]
                0.00    0.00    2530/31974       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::correctBoundaryConditions() (GeometricField.C:916 @ 664f0) [14481]
[9994]   0.0    0.00    0.00   31974         Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::storeOldTimes() const (GeometricField.C:774 @ 65b70) [9994]
-----------------------------------------------
                0.00    0.00       2/30056       Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::readOldTimeIfPresent() (GeometricField.C:144 @ ae986) [12602]
                0.00    0.00       2/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::storePrevIter() const (GeometricField.C:885 @ b4059) [35058]
                0.00    0.00       6/30056       Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::GeometricField(Foam::IOobject const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (tmpI.H:232 @ aab71) [16068]
                0.00    0.00      14/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::readOldTimeIfPresent() (GeometricField.C:144 @ b4726) [14433]
                0.00    0.00      24/30056       Foam::UList<Foam::Vector<double> >::writeEntry(Foam::Ostream&) const (UListIO.C:41 @ 9c3b4) [39349]
                0.00    0.00      24/30056       Foam::UList<Foam::Vector<double> >::writeEntry(Foam::Ostream&) const (UListIO.C:46 @ 9c4a7) [39379]
                0.00    0.00     120/30056       Foam::fvMatrix<double>::operator-=(Foam::fvMatrix<double> const&) (tmpI.H:232 @ add9f) [27657]
                0.00    0.00     120/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator-<double, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b8233) [31735]
                0.00    0.00     228/30056       Foam::UList<double>::writeEntry(Foam::Ostream&) const (UListIO.C:41 @ 9d574) [39443]
                0.00    0.00     228/30056       Foam::UList<double>::writeEntry(Foam::Ostream&) const (UListIO.C:46 @ 9d667) [39473]
                0.00    0.00     240/30056       Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > > Foam::operator==<Foam::Vector<double> >(Foam::fvMatrix<Foam::Vector<double> > const&, Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ 7bd9b) [30203]
                0.00    0.00     240/30056       Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator-<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ af2a4) [31622]
                0.00    0.00     360/30056       Foam::tmp<Foam::fvMatrix<double> > Foam::operator+<double>(Foam::tmp<Foam::fvMatrix<double> > const&, Foam::tmp<Foam::fvMatrix<double> > const&) (tmpI.H:232 @ 78050) [31850]
                0.00    0.00     360/30056       Foam::tmp<Foam::fvMatrix<double> > Foam::operator-<double>(Foam::tmp<Foam::fvMatrix<double> > const&, Foam::tmp<Foam::fvMatrix<double> > const&) (tmpI.H:232 @ ade80) [30785]
                0.00    0.00     480/30056       Foam::tmp<Foam::fvMatrix<double> > Foam::operator==<double>(Foam::tmp<Foam::fvMatrix<double> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ 71fa2) [30249]
                0.00    0.00     480/30056       Foam::fvMatrix<double>::flux() const (fvMatrix.C:888 @ ac1ed) [40242]
                0.00    0.00     480/30056       Foam::fvMatrix<Foam::Vector<double> >::H() const (fvMatrix.C:768 @ af52e) [39878]
                0.00    0.00     480/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b6438) [29411]
                0.00    0.00     480/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<double, Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b7147) [31532]
                0.00    0.00     480/30056       Foam::tmp<Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh> > Foam::operator+<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b7714) [31941]
                0.00    0.00     480/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::relax(double) (GeometricField.C:957 @ b895d) [446]
                0.00    0.00     480/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::relax(double) (tmpI.H:232 @ b8973) [14527]
                0.00    0.00     720/30056       Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (fvMatrixSolve.C:188 @ 8afce) [26130]
                0.00    0.00     720/30056       Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (fvMatrixSolve.C:200 @ 8b2f0) [110]
                0.00    0.00     720/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b6aa0) [29525]
                0.00    0.00     724/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (tmpI.H:232 @ b7d80) [29735]
                0.00    0.00     840/30056       Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::laplacian<double, double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::word const&) (tmpI.H:232 @ 919fe) [21881]
                0.00    0.00     840/30056       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (tmpI.H:232 @ ab248) [19926]
                0.00    0.00     960/30056       Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (tmpI.H:232 @ b0b2f) [29885]
                0.00    0.00     960/30056       Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricFieldReuseFunctions.H:339 @ b0db3) [29902]
                0.00    0.00     960/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::relax(double) (GeometricField.C:958 @ b8999) [14528]
                0.00    0.00     962/30056       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:261 @ b1ae5) [19674]
                0.00    0.00    1920/30056       Foam::fvMatrix<Foam::Vector<double> >::A() const (fvMatrix.C:739 @ b8e00) [39810]
                0.00    0.00    2040/30056       Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::GeometricField(Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (GeometricField.C:470 @ 72240) [16166]
                0.00    0.00    2040/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::div<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcDiv.C:59 @ b54be) [20834]
                0.00    0.00    2160/30056       Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (tmpI.H:232 @ 8b32f) [26187]
                0.00    0.00    2280/30056       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::surfaceIntegrate<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcSurfaceIntegrate.C:88 @ b509d) [20657]
                0.00    0.00    2282/30056       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::GeometricField(Foam::word const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricField.C:596 @ 6c0b0) [15135]
                0.00    0.00    3120/30056       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:261 @ aae65) [19877]
[9995]   0.0    0.00    0.00   30056         Foam::word::word(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) [clone .constprop.786] (wordI.H:76 @ 4daf0) [9995]
-----------------------------------------------
                0.00    0.00    5772/27852       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:293 @ b1d58) [19707]
                0.00    0.00   22080/27852       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:293 @ ab090) [19903]
[9996]   0.0    0.00    0.00   27852         Foam::UPtrList<Foam::fvsPatchField<double> >::operator[](int) const (UPtrListI.H:103 @ 582e0) [9996]
-----------------------------------------------
                0.00    0.00    2880/24960       Foam::fvMatrix<double>::flux() const (fvMatrix.C:948 @ ac7e7) [40325]
                0.00    0.00   22080/24960       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:295 @ ab0a2) [19904]
[9997]   0.0    0.00    0.00   24960         Foam::UPtrList<Foam::fvsPatchField<double> >::operator[](int) (UPtrListI.H:119 @ 59fd0) [9997]
-----------------------------------------------
                0.00    0.00     240/24240       Foam::fvMatrix<Foam::Vector<double> >::relax(double) (fvMatrix.C:669 @ 6d838) [26307]
                0.00    0.00     240/24240       Foam::Vector<double> Foam::gAverage<Foam::Vector<double> >(Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (FieldFunctions.C:604 @ 75870) [27699]
                0.00    0.00     240/24240       Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > > Foam::operator==<Foam::Vector<double> >(Foam::fvMatrix<Foam::Vector<double> > const&, Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (Field.C:848 @ 7bcba) [30202]
                0.00    0.00     480/24240       Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator/<Foam::Vector<double> >(Foam::tmp<Foam::Field<Foam::Vector<double> > > const&, Foam::UList<double> const&) (FieldFunctions.C:626 @ 62e30) [269]
                0.00    0.00     480/24240       Foam::fvMatrix<Foam::Vector<double> >::H() const (FieldFunctions.C:770 @ af8ca) [513]
                0.00    0.00     480/24240       Foam::fvMatrix<Foam::Vector<double> >::H() const (Field.C:848 @ af9ff) [39938]
                0.00    0.00    2400/24240       Foam::fvPatchField<Foam::Vector<double> >::snGrad() const (FieldFunctions.C:771 @ 7a810) [444]
                0.00    0.00    2880/24240       Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::tmp<Foam::Field<double> > const&, Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (FieldFunctions.C:625 @ 72760) [225]
                0.00    0.00    5280/24240       Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::UList<double> const&, Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (FieldFunctions.C:625 @ 72630) [210]
                0.00    0.00    5760/24240       Foam::Field<Foam::Vector<double> >::operator=(Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (Field.C:794 @ 9b1cc) [23851]
                0.00    0.00    5760/24240       Foam::Field<Foam::Vector<double> >::operator=(Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (Field.C:801 @ 9b1da) [23852]
[9998]   0.0    0.00    0.00   24240         Foam::tmp<Foam::Field<Foam::Vector<double> > >::operator()() const (tmpI.H:272 @ 5a510) [9998]
-----------------------------------------------
                0.00    0.00       6/21248       Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::GeometricField(Foam::IOobject const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (Field.C:222 @ aaa3c) [16061]
                0.00    0.00     840/21248       Foam::fvMatrix<double>::fvMatrix(Foam::tmp<Foam::fvMatrix<double> > const&) (tmpI.H:148 @ 754a0) [27414]
                0.00    0.00    2040/21248       Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh>::GeometricField(Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (refCount.H:73 @ 7217d) [16007]
                0.00    0.00    2282/21248       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::GeometricField(Foam::word const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (refCount.H:73 @ 6bff7) [15010]
                0.00    0.00   16080/21248       Foam::Field<double>::Field(Foam::tmp<Foam::Field<double> > const&) (Field.C:258 @ 6000d) [424]
[9999]   0.0    0.00    0.00   21248         Foam::List<double>::List(Foam::List<double>&, bool) (List.C:156 @ 5e100) [9999]
-----------------------------------------------
                0.00    0.00      12/18864       Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::readField(Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::dictionary const&) (PtrListI.H:98 @ 8dbbb) [12841]
                0.00    0.00    1440/18864       Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::Boundary(Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary const&) (PtrListI.H:98 @ 79fcd) [12988]
                0.00    0.00   17412/18864       Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::Boundary(Foam::fvBoundaryMesh const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::word const&) (UListI.H:172 @ 8cd80) [12918]
[10000   0.0    0.00    0.00   18864         Foam::tmp<Foam::fvPatchField<Foam::Vector<double> > >::ptr() const (tmpI.H:198 @ 79b00) [10000]
-----------------------------------------------
                0.00    0.00   17412/17412       Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>::Boundary::Boundary(Foam::fvBoundaryMesh const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&, Foam::word const&) (fvPatchFieldNew.C:98 @ 8cd61) [12916]
[10001   0.0    0.00    0.00   17412         Foam::fvPatchField<Foam::Vector<double> >::New(Foam::word const&, Foam::word const&, Foam::fvPatch const&, Foam::DimensionedField<Foam::Vector<double>, Foam::volMesh> const&) (fvPatchFieldNew.C:29 @ 8c6b0) [10001]
-----------------------------------------------
                0.00    0.00     962/15722       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::Boundary::evaluate() (fvPatchField.C:335 @ 5b396) [14669]
                0.00    0.00   14760/15722       Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::Boundary::updateCoeffs() (GeometricBoundaryField.C:407 @ 58cc0) [14611]
[10002   0.0    0.00    0.00   15722         Foam::fvPatchField<double>::updateCoeffs() (fvPatchField.C:311 @ 4fed0) [10002]
-----------------------------------------------
                0.00    0.00    6720/15360       Foam::PtrList<Foam::Field<double> >::PtrList(Foam::PtrList<Foam::Field<double> > const&) (PtrList.C:52 @ 6a590) [25509]
                0.00    0.00    8640/15360       Foam::tmp<Foam::FieldField<Foam::Field, double> > Foam::FieldField<Foam::Field, double>::NewCalculatedType<Foam::Vector<double> >(Foam::FieldField<Foam::Field, Foam::Vector<double> > const&) (FieldField.C:202 @ 7cd40) [10263]
[10003   0.0    0.00    0.00   15360         Foam::tmp<Foam::Field<double> >::ptr() const (tmpI.H:198 @ 5f3b0) [10003]
-----------------------------------------------
                0.00    0.00     120/14522       Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::div<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (fvmDiv.C:83 @ 92f28) [21460]
                0.00    0.00     120/14522       Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator-<double, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (IOobject.H:395 @ acf9e) [31756]
                0.00    0.00     120/14522       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator-<double, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricFieldFunctions.C:576 @ b7f18) [31708]
                0.00    0.00     240/14522       Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::fvc::interpolate<double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (surfaceInterpolate.C:254 @ 4eed8) [21076]
                0.00    0.00     240/14522       Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > > Foam::fvm::laplacian<Foam::Vector<double>, double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&) [clone .constprop.738] (fvmLaplacian.C:251 @ 4f43f) [21650]
                0.00    0.00     240/14522       Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::ddt<double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (fvmDdt.C:95 @ 90f93) [21185]
                0.00    0.00     240/14522       Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > > Foam::fvm::div<Foam::Vector<double> >(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&) (fvmDiv.C:83 @ 93818) [21314]
                0.00    0.00     240/14522       Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator-<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (GeometricFieldFunctions.C:576 @ af0ff) [31582]
                0.00    0.00     480/14522       Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::fvc::interpolate<Foam::Vector<double> >(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (surfaceInterpolate.C:254 @ 4e8dd) [20954]
                0.00    0.00     480/14522       Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::laplacian<double, double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (fvmLaplacian.C:251 @ 91f6f) [21783]
                0.00    0.00     480/14522       Foam::fvMatrix<double>::flux() const (fvMatrix.C:888 @ ac1ed) [40242]
                0.00    0.00     480/14522       Foam::fvMatrix<Foam::Vector<double> >::H() const (fvMatrix.C:768 @ af52e) [39878]
                0.00    0.00     720/14522       Foam::tmp<Foam::GeometricField<Foam::outerProduct<Foam::Vector<double>, double>::type, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::grad<double>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (fvcGrad.C:142 @ 92685) [20852]
                0.00    0.00     962/14522       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:261 @ b1ae5) [19674]
                0.00    0.00    1920/14522       Foam::fvMatrix<Foam::Vector<double> >::A() const (fvMatrix.C:739 @ b8e00) [39810]
                0.00    0.00    2040/14522       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::div<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcDiv.C:46 @ b53a9) [20798]
                0.00    0.00    2280/14522       Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::fvc::surfaceIntegrate<double>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcSurfaceIntegrate.C:88 @ b509d) [20657]
                0.00    0.00    3120/14522       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:261 @ aae65) [19877]
[10004   0.0    0.00    0.00   14522         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (basic_string.tcc:1157 @ 5c2d0) [10004]
-----------------------------------------------
                0.00    0.00    1440/14424       Foam::fvMatrix<Foam::Vector<double> >::relax(double) (fvMatrix.C:549 @ 6d73d) [26285]
                0.00    0.00    1440/14424       Foam::fvMatrix<Foam::Vector<double> >::relax(double) (fvMatrix.C:644 @ 6ddc3) [26398]
                0.00    0.00   11544/14424       Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:297 @ b1d88) [19709]
[10005   0.0    0.00    0.00   14424         Foam::UPtrList<Foam::fvPatchField<Foam::Vector<double> > >::operator[](int) const (UPtrListI.H:103 @ 592a0) [10005]
-----------------------------------------------
